City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Coquimbo,CL,-29.9533,-71.3436,58.73,77,0,11.5,clear sky
79,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,3.44,broken clouds
80,Grindavik,IS,63.8424,-22.4338,40.95,87,75,16.11,broken clouds
81,Cape Town,ZA,-33.9258,18.4232,60.28,57,59,11.05,broken clouds
82,Chambery,FR,45.5667,5.9333,61.02,81,20,6.91,few clouds
83,Saint-Augustin,CA,51.226,-58.6502,51.64,76,100,16.24,overcast clouds
84,Berlevag,NO,70.8578,29.0864,42.6,89,57,2.24,broken clouds
85,New Norfolk,AU,-42.7826,147.0587,49.71,70,100,1.72,overcast clouds
86,Jamestown,US,42.097,-79.2353,67.32,51,1,3.0,clear sky
87,Vardo,NO,70.3705,31.1107,43.0,86,22,7.56,few clouds
88,Punta Arenas,CL,-53.15,-70.9167,50.11,43,0,18.41,clear sky
89,Nanortalik,GL,60.1432,-45.2371,36.12,68,3,9.08,clear sky
90,Hithadhoo,MV,-0.6,73.0833,80.83,76,100,2.71,overcast clouds
91,Cidreira,BR,-30.1811,-50.2056,64.26,86,57,15.43,broken clouds
92,Saskylakh,RU,71.9167,114.0833,21.88,91,96,3.24,overcast clouds
93,Matagami,CA,49.7502,-77.6328,50.11,87,90,5.75,overcast clouds
94,Vaini,TO,-21.2,-175.2,77.16,83,75,10.36,broken clouds
95,Binika,IN,21.0333,83.8,76.24,88,98,3.91,overcast clouds
96,Rusne,LT,55.2964,21.3758,51.89,77,100,18.05,overcast clouds
97,Kahului,US,20.8947,-156.47,87.82,68,40,20.71,scattered clouds
98,Martapura,ID,-3.4167,114.85,75.29,100,98,1.14,overcast clouds
99,Torbay,CA,47.6666,-52.7314,65.88,92,40,5.01,scattered clouds
100,Alofi,NU,-19.0595,-169.9187,78.69,89,75,11.5,light rain
101,Ketchikan,US,55.3422,-131.6461,54.07,87,90,17.27,light rain
102,Campagna,IT,40.6653,15.1059,67.84,85,36,1.01,scattered clouds
103,Jha Jha,IN,24.7667,86.3667,75.06,95,100,14.85,light rain
104,Cayenne,GF,4.9333,-52.3333,82.09,78,20,1.99,few clouds
105,Jacareacanga,BR,-6.2222,-57.7528,83.75,67,87,0.56,overcast clouds
106,Chokurdakh,RU,70.6333,147.9167,20.66,95,100,5.32,overcast clouds
107,Vadinsk,RU,53.6916,43.0574,39.43,74,31,4.65,scattered clouds
108,Airai,TL,-8.9266,125.4092,58.17,71,43,2.48,scattered clouds
109,Tabou,CI,4.423,-7.3528,76.44,90,100,6.11,moderate rain
110,Laguna,US,38.421,-121.4238,85.05,25,1,5.01,clear sky
111,Belyy Yar,RU,53.6039,91.3903,39.09,87,40,6.71,scattered clouds
112,Namibe,AO,-15.1961,12.1522,63.54,87,31,6.33,scattered clouds
113,Victoria,HK,22.2855,114.1577,85.96,88,2,5.79,clear sky
114,Faya,SA,18.3851,42.4509,63.12,41,70,2.75,broken clouds
115,Bangalore,IN,12.9762,77.6033,69.62,89,98,6.71,overcast clouds
116,Lampa,CL,-33.2833,-70.9,66.07,23,75,17.27,broken clouds
117,Itoman,JP,26.1247,127.6694,80.98,78,20,14.97,few clouds
118,Bethel,US,41.3712,-73.414,66.11,59,75,6.91,broken clouds
119,College,US,64.8569,-147.8028,29.86,81,90,3.44,overcast clouds
120,Paamiut,GL,61.994,-49.6678,33.62,49,0,5.14,clear sky
121,Pangnirtung,CA,66.1451,-65.7125,36.01,53,75,0.56,broken clouds
122,Maumere,ID,-8.6199,122.2111,77.45,81,55,3.67,broken clouds
123,Akabira,JP,43.5514,142.0531,57.67,97,100,4.5,heavy intensity rain
124,Sabang,ID,5.8933,95.3214,80.1,81,95,6.93,moderate rain
125,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,5.75,scattered clouds
126,Cherskiy,RU,68.75,161.3,24.28,94,89,11.61,overcast clouds
127,Port Keats,AU,-14.25,129.55,79.27,81,80,5.77,broken clouds
128,Amapa,BR,1.0,-52.0,85.93,44,56,3.67,broken clouds
129,Bac Lieu,VN,9.285,105.7244,80.17,82,100,4.92,overcast clouds
130,Maraa,BR,-1.8333,-65.3667,85.6,62,100,4.09,overcast clouds
131,Damaturu,NG,11.747,11.9608,80.74,69,96,4.03,light rain
132,Gornopravdinsk,RU,60.05,69.9,32.31,89,89,4.72,overcast clouds
133,Saint-Philippe,RE,-21.3585,55.7679,71.15,80,47,14.09,scattered clouds
134,Chapais,CA,49.7834,-74.8492,49.78,79,100,5.75,overcast clouds
135,Mahebourg,MU,-20.4081,57.7,72.25,83,40,10.36,scattered clouds
