City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
415,Punta Alta,AR,-38.8759,-62.0736,53.13,56,71,9.93,broken clouds
416,Puerto Leguizamo,CO,-0.1934,-74.7819,71.1,99,100,1.54,overcast clouds
417,Hervey Bay,AU,-25.2986,152.8535,76.03,58,100,10.67,moderate rain
418,Vestmannaeyjar,IS,63.4427,-20.2734,41.43,72,100,36.13,overcast clouds
419,Coquimbo,CL,-29.9533,-71.3436,53.33,100,90,4.61,fog
420,Caravelas,BR,-17.7125,-39.2481,69.93,89,0,5.55,clear sky
421,Gravdal,NO,68.1214,13.5031,53.49,62,0,6.91,clear sky
422,Ballina,AU,-28.8667,153.5667,69.98,62,100,14.76,overcast clouds
423,Sabang,ID,5.8933,95.3214,80.71,74,100,4.05,overcast clouds
424,Ust-Kuyga,RU,70.0167,135.6,25.2,87,79,2.35,broken clouds
425,Touros,BR,-5.1989,-35.4608,76.1,86,74,12.35,broken clouds
426,Duverge,DO,18.3784,-71.5247,77.67,85,16,1.99,few clouds
427,Mount Isa,AU,-20.7333,139.5,91.17,29,75,19.57,broken clouds
428,Guia De Isora,ES,28.2115,-16.7795,68.92,72,4,13.2,clear sky
429,Faya,SA,18.3851,42.4509,68.11,35,59,2.48,broken clouds
430,Polczyn-Zdroj,PL,53.7642,16.0957,53.91,68,100,13.13,overcast clouds
431,Veraval,IN,20.9,70.3667,78.71,88,100,11.23,light rain
432,Catemaco,MX,18.4167,-95.1167,73.17,87,80,3.49,broken clouds
433,Mokhsogollokh,RU,61.4681,128.9203,43.77,35,3,11.83,clear sky
434,Pinhal Novo,PT,38.6311,-8.9138,63.16,67,0,12.66,clear sky
435,Makakilo City,US,21.3469,-158.0858,79.12,66,1,11.5,clear sky
436,Hofn,IS,64.2539,-15.2082,38.66,62,100,8.08,overcast clouds
437,Cotonou,BJ,6.3654,2.4183,78.78,89,40,6.91,scattered clouds
438,Christchurch,NZ,-43.5333,172.6333,66.4,40,11,19.57,few clouds
439,Kavieng,PG,-2.5744,150.7967,84.34,73,32,8.95,light rain
440,Saskylakh,RU,71.9167,114.0833,29.19,77,100,4.99,overcast clouds
441,Ojinaga,MX,29.5667,-104.4167,77.41,33,1,8.05,clear sky
442,Bogashevo,RU,56.3683,85.1447,44.74,61,0,11.18,clear sky
443,Aketi,CD,2.7388,23.7833,66.94,97,100,0.85,overcast clouds
444,Ust-Maya,RU,60.4167,134.5333,48.42,66,77,9.62,broken clouds
445,Barwala,IN,29.3833,75.9167,86.27,64,5,9.75,clear sky
446,Ancud,CL,-41.8697,-73.8203,40.53,79,100,3.76,overcast clouds
447,Tucupita,VE,9.0622,-62.051,73.35,98,28,1.83,scattered clouds
448,Rafai,CF,4.95,23.9167,66.76,99,100,1.79,overcast clouds
